seed,edge_delta,brier_delta,map_delta,true_mass_delta
66001,-0.305491,-0.007593,0,0.018719
66002,0.563155,0.019871,0,0.001472
66003,-0.715389,-0.013929,0,-0.004217
66004,-0.322979,-0.014671,0,-0.016425
66005,-1.830056,-0.064298,1,0.159650
66006,0.689797,0.058191,0,-0.001898
66007,-0.176527,-0.006242,0,0.000498
66008,-1.495496,-0.053018,0,0.021187
66009,0.027414,0.011789,0,-0.057660
66010,0.759449,0.068851,0,-0.000896
66011,-1.060092,-0.032410,0,0.018995
66012,4.380168,0.255452,0,-0.001743
66013,-0.128440,0.000203,0,0.007012
66014,0.621467,0.011082,0,-0.092043
66015,-0.839715,-0.022921,0,0.001586
66016,-1.602715,-0.052101,0,0.005179
66017,-1.184792,-0.043920,1,0.297233
66018,-0.884943,-0.021615,1,0.239775
66019,-1.486812,-0.043592,0,0.012783
66020,1.150833,0.060591,0,-0.001285
66021,-0.581897,-0.000926,0,0.000388
66022,-0.587123,0.007923,0,0.003717
66023,-0.183704,0.006210,0,-0.017401
66024,-0.805988,-0.012978,0,0.021815
summary_mean_edge_delta,-0.2499948413019635
summary_bootstrap95_low,-0.6939231377541238
summary_bootstrap95_high,0.2936108396131995
summary_mean_brier_delta,0.004581265938658899
summary_wins,17
summary_losses,7
summary_harm_gt_0_50,6
summary_net_map_delta,3
summary_mean_compute_ratio,0.9465584005101366
passes_confirmation,false
