seed,edge_delta,brier_delta,map_delta,true_mass_delta
65901,-1.524836,-0.057663,0,0.006918
65902,-1.240762,-0.032085,0,0.210315
65903,-1.470085,-0.051468,1,0.148465
65904,-1.880843,-0.056862,1,0.246692
65905,-0.102734,-0.006375,1,0.047472
65906,-2.665158,-0.101816,1,0.248767
65907,0.269473,0.008744,0,0.003536
65908,-0.239904,-0.008629,0,0.023277
65909,3.767173,0.203036,0,-0.001147
65910,-1.267787,-0.060989,0,0.026787
65911,-0.560020,-0.002060,0,0.012569
65912,-0.907955,-0.019489,0,0.020855
summary_mean_edge_delta,-0.6519532163619636
summary_mean_brier_delta,-0.01547126523104097
summary_wins,10
summary_losses,2
summary_harm_gt_0_50,1
summary_net_map_delta,4
summary_mean_compute_ratio,0.9733122435306157
passes_screen,true
