a,b,c,n_promoted,coverage,mean_edge_delta,mean_brier_delta,large_harms,wins,qualifies
0.75,0.25,0.35,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.25,0.5,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.25,0.65,0,0,None,None,0,0,False
0.75,0.25,0.8,0,0,None,None,0,0,False
0.75,0.35,0.35,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.35,0.5,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.35,0.65,0,0,None,None,0,0,False
0.75,0.35,0.8,0,0,None,None,0,0,False
0.75,0.45,0.35,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.45,0.5,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.45,0.65,0,0,None,None,0,0,False
0.75,0.45,0.8,0,0,None,None,0,0,False
0.75,0.55,0.35,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.55,0.5,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.55,0.65,0,0,None,None,0,0,False
0.75,0.55,0.8,0,0,None,None,0,0,False
0.75,0.7,0.35,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.7,0.5,1,0.041666666666666664,-0.6773864137966452,-0.004596485600777356,0,1,False
0.75,0.7,0.65,0,0,None,None,0,0,False
0.75,0.7,0.8,0,0,None,None,0,0,False
1.0,0.25,0.35,11,0.4583333333333333,-0.5578874750515717,0.0009123775625028977,0,11,False
1.0,0.25,0.5,10,0.4166666666666667,-0.5630313996248004,-0.00020921247333185411,0,10,False
1.0,0.25,0.65,2,0.08333333333333333,-0.5198352042514174,-0.005758576744915853,0,2,False
1.0,0.25,0.8,0,0,None,None,0,0,False
1.0,0.35,0.35,11,0.4583333333333333,-0.5578874750515717,0.0009123775625028977,0,11,False
1.0,0.35,0.5,10,0.4166666666666667,-0.5630313996248004,-0.00020921247333185411,0,10,False
1.0,0.35,0.65,2,0.08333333333333333,-0.5198352042514174,-0.005758576744915853,0,2,False
1.0,0.35,0.8,0,0,None,None,0,0,False
1.0,0.45,0.35,11,0.4583333333333333,-0.5578874750515717,0.0009123775625028977,0,11,False
1.0,0.45,0.5,10,0.4166666666666667,-0.5630313996248004,-0.00020921247333185411,0,10,False
1.0,0.45,0.65,2,0.08333333333333333,-0.5198352042514174,-0.005758576744915853,0,2,False
1.0,0.45,0.8,0,0,None,None,0,0,False
1.0,0.55,0.35,11,0.4583333333333333,-0.5578874750515717,0.0009123775625028977,0,11,False
1.0,0.55,0.5,10,0.4166666666666667,-0.5630313996248004,-0.00020921247333185411,0,10,False
1.0,0.55,0.65,2,0.08333333333333333,-0.5198352042514174,-0.005758576744915853,0,2,False
1.0,0.55,0.8,0,0,None,None,0,0,False
1.0,0.7,0.35,11,0.4583333333333333,-0.5578874750515717,0.0009123775625028977,0,11,False
1.0,0.7,0.5,10,0.4166666666666667,-0.5630313996248004,-0.00020921247333185411,0,10,False
1.0,0.7,0.65,2,0.08333333333333333,-0.5198352042514174,-0.005758576744915853,0,2,False
1.0,0.7,0.8,0,0,None,None,0,0,False
1.25,0.25,0.35,21,0.875,-0.5888146168493462,-0.00037393233828779914,0,21,True
1.25,0.25,0.5,18,0.75,-0.5588226922821132,-0.001084682874253908,0,18,True
1.25,0.25,0.65,9,0.375,-0.5041275910879682,-0.001584932485058945,0,9,False
1.25,0.25,0.8,1,0.041666666666666664,-0.005509698171477062,0.009294239160477766,0,1,False
1.25,0.35,0.35,21,0.875,-0.5888146168493462,-0.00037393233828779914,0,21,True
1.25,0.35,0.5,18,0.75,-0.5588226922821132,-0.001084682874253908,0,18,True
1.25,0.35,0.65,9,0.375,-0.5041275910879682,-0.001584932485058945,0,9,False
1.25,0.35,0.8,1,0.041666666666666664,-0.005509698171477062,0.009294239160477766,0,1,False
1.25,0.45,0.35,21,0.875,-0.5888146168493462,-0.00037393233828779914,0,21,True
1.25,0.45,0.5,18,0.75,-0.5588226922821132,-0.001084682874253908,0,18,True
1.25,0.45,0.65,9,0.375,-0.5041275910879682,-0.001584932485058945,0,9,False
1.25,0.45,0.8,1,0.041666666666666664,-0.005509698171477062,0.009294239160477766,0,1,False
1.25,0.55,0.35,21,0.875,-0.5888146168493462,-0.00037393233828779914,0,21,True
1.25,0.55,0.5,18,0.75,-0.5588226922821132,-0.001084682874253908,0,18,True
1.25,0.55,0.65,9,0.375,-0.5041275910879682,-0.001584932485058945,0,9,False
1.25,0.55,0.8,1,0.041666666666666664,-0.005509698171477062,0.009294239160477766,0,1,False
1.25,0.7,0.35,21,0.875,-0.5888146168493462,-0.00037393233828779914,0,21,True
1.25,0.7,0.5,18,0.75,-0.5588226922821132,-0.001084682874253908,0,18,True
1.25,0.7,0.65,9,0.375,-0.5041275910879682,-0.001584932485058945,0,9,False
1.25,0.7,0.8,1,0.041666666666666664,-0.005509698171477062,0.009294239160477766,0,1,False
1.5,0.25,0.35,23,0.9583333333333334,-0.5257419026945204,0.0016705276806930438,0,22,True
1.5,0.25,0.5,20,0.8333333333333334,-0.4892882634607867,0.0013375212011706725,0,19,True
1.5,0.25,0.65,11,0.4583333333333333,-0.3876459207208552,0.002910029399495753,0,10,False
1.5,0.25,0.8,2,0.08333333333333333,0.15667292849756076,0.013959873076516145,0,1,False
1.5,0.35,0.35,23,0.9583333333333334,-0.5257419026945204,0.0016705276806930438,0,22,True
1.5,0.35,0.5,20,0.8333333333333334,-0.4892882634607867,0.0013375212011706725,0,19,True
1.5,0.35,0.65,11,0.4583333333333333,-0.3876459207208552,0.002910029399495753,0,10,False
