a,t,n,n_promoted,coverage,mean_edge_delta,mean_brier_delta,large_harms,wins,qualifies
1.0,0.5,0.1,0,0.0,,,0,0,False
1.0,0.5,0.2,0,0.0,,,0,0,False
1.0,0.5,0.3,0,0.0,,,0,0,False
1.0,0.5,0.45,0,0.0,,,0,0,False
1.0,0.5,0.6,0,0.0,,,0,0,False
1.0,1.0,0.1,0,0.0,,,0,0,False
1.0,1.0,0.2,0,0.0,,,0,0,False
1.0,1.0,0.3,0,0.0,,,0,0,False
1.0,1.0,0.45,0,0.0,,,0,0,False
1.0,1.0,0.6,0,0.0,,,0,0,False
1.0,2.0,0.1,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.0,2.0,0.2,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.0,2.0,0.3,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.0,2.0,0.45,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.0,2.0,0.6,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.0,4.0,0.1,4,0.16666666666666666,-0.5613903200929896,0.0005566777155990665,0,4,False
1.0,4.0,0.2,4,0.16666666666666666,-0.5613903200929896,0.0005566777155990665,0,4,False
1.0,4.0,0.3,4,0.16666666666666666,-0.5613903200929896,0.0005566777155990665,0,4,False
1.0,4.0,0.45,4,0.16666666666666666,-0.5613903200929896,0.0005566777155990665,0,4,False
1.0,4.0,0.6,4,0.16666666666666666,-0.5613903200929896,0.0005566777155990665,0,4,False
1.0,8.0,0.1,5,0.20833333333333334,-0.5140509866540527,0.0005882804771268917,0,5,False
1.0,8.0,0.2,5,0.20833333333333334,-0.5140509866540527,0.0005882804771268917,0,5,False
1.0,8.0,0.3,5,0.20833333333333334,-0.5140509866540527,0.0005882804771268917,0,5,False
1.0,8.0,0.45,5,0.20833333333333334,-0.5140509866540527,0.0005882804771268917,0,5,False
1.0,8.0,0.6,5,0.20833333333333334,-0.5140509866540527,0.0005882804771268917,0,5,False
1.25,0.5,0.1,0,0.0,,,0,0,False
1.25,0.5,0.2,0,0.0,,,0,0,False
1.25,0.5,0.3,0,0.0,,,0,0,False
1.25,0.5,0.45,0,0.0,,,0,0,False
1.25,0.5,0.6,0,0.0,,,0,0,False
1.25,1.0,0.1,0,0.0,,,0,0,False
1.25,1.0,0.2,0,0.0,,,0,0,False
1.25,1.0,0.3,0,0.0,,,0,0,False
1.25,1.0,0.45,0,0.0,,,0,0,False
1.25,1.0,0.6,0,0.0,,,0,0,False
1.25,2.0,0.1,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.25,2.0,0.2,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.25,2.0,0.3,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.25,2.0,0.45,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.25,2.0,0.6,2,0.08333333333333333,-0.7686080743030852,-0.002733662886691922,0,2,False
1.25,4.0,0.1,6,0.25,-0.724731102006675,-0.007921589211833323,0,6,False
1.25,4.0,0.2,6,0.25,-0.724731102006675,-0.007921589211833323,0,6,False
1.25,4.0,0.3,6,0.25,-0.724731102006675,-0.007921589211833323,0,6,False
1.25,4.0,0.45,6,0.25,-0.724731102006675,-0.007921589211833323,0,6,False
1.25,4.0,0.6,6,0.25,-0.724731102006675,-0.007921589211833323,0,6,False
1.25,8.0,0.1,8,0.3333333333333333,-0.6986640881523081,-0.00714576327354119,0,8,False
1.25,8.0,0.2,8,0.3333333333333333,-0.6986640881523081,-0.00714576327354119,0,8,False
1.25,8.0,0.3,8,0.3333333333333333,-0.6986640881523081,-0.00714576327354119,0,8,False
1.25,8.0,0.45,8,0.3333333333333333,-0.6986640881523081,-0.00714576327354119,0,8,False
1.25,8.0,0.6,8,0.3333333333333333,-0.6986640881523081,-0.00714576327354119,0,8,False
1.5,0.5,0.1,0,0.0,,,0,0,False
1.5,0.5,0.2,0,0.0,,,0,0,False
1.5,0.5,0.3,0,0.0,,,0,0,False
1.5,0.5,0.45,0,0.0,,,0,0,False
1.5,0.5,0.6,0,0.0,,,0,0,False
1.5,1.0,0.1,0,0.0,,,0,0,False
1.5,1.0,0.2,0,0.0,,,0,0,False
1.5,1.0,0.3,0,0.0,,,0,0,False
1.5,1.0,0.45,0,0.0,,,0,0,False
1.5,1.0,0.6,0,0.0,,,0,0,False
1.5,2.0,0.1,3,0.125,-0.49775396705402314,0.00909779816722994,0,2,False
1.5,2.0,0.2,3,0.125,-0.49775396705402314,0.00909779816722994,0,2,False
1.5,2.0,0.3,3,0.125,-0.49775396705402314,0.00909779816722994,0,2,False
1.5,2.0,0.45,3,0.125,-0.49775396705402314,0.00909779816722994,0,2,False
1.5,2.0,0.6,3,0.125,-0.49775396705402314,0.00909779816722994,0,2,False
1.5,4.0,0.1,9,0.375,-0.5498717443762041,0.0021137270655111626,0,7,False
1.5,4.0,0.2,9,0.375,-0.5498717443762041,0.0021137270655111626,0,7,False
1.5,4.0,0.3,9,0.375,-0.5498717443762041,0.0021137270655111626,0,7,False
