seed,edge_delta,brier_delta,map_delta,true_mass_delta,treat_expected_edges,true_edges
65811,3.6345967523,0.1405791304,0,-0.0670370083,5.7986280090,7
65812,0.2527341929,0.0100033059,-1,-0.1587305910,5.4418272605,5
65813,-0.1064364946,-0.0027087455,0,0.0498082691,3.1069349905,2
65814,1.9586475280,0.0828783503,-1,-0.1783211005,4.8314770263,4
65815,0.0199027811,0.0013470140,0,-0.0014005447,4.1337135083,3
65816,1.3866104504,0.0278020994,0,-0.0002875735,4.8876690929,7
65817,-0.4300015851,-0.0312808597,0,0.0041744139,5.7105636083,5
65818,1.5145478366,0.0554193702,0,-0.0194652813,4.1884210836,2
65819,1.1360401397,0.0287954043,-1,-0.0838649849,4.5780456720,3
65820,0.7309138226,0.0160619683,0,-0.1652975004,4.5783334114,4
65821,-1.2397763426,-0.0522989623,1,0.0488607006,3.7842331855,2
65822,-0.3697104952,-0.0286153892,0,0.0074049084,4.6273528962,4
summary_mean_edge_delta,0.7073390488
summary_mean_brier_delta,0.0206652239
summary_wins,4
summary_losses,8
summary_harm_gt_0_50,6
summary_net_map_delta,-2
passes_screen,false
